Index;t;x;y
765,000000000;49,900846239;2,855479319;1,531686513
766,000000000;49,970652787;2,844362828;1,507552881
767,000000000;50,041327009;2,834601389;1,483451902
768,000000000;50,112896663;2,826211368;1,459390792
769,000000000;50,185391942;2,819211682;1,435376296
770,000000000;50,258842573;2,813624303;1,411415687
771,000000000;50,333282676;2,809474049;1,387515210
772,000000000;50,408746720;2,806789213;1,363681467
773,000000000;50,485271285;2,805601671;1,339920885
774,000000000;50,562896584;2,805947225;1,316239311
775,000000000;50,641664585;2,807866019;1,292642678
776,000000000;50,721620445;2,811402933;1,269136630
777,000000000;50,802813623;2,816608147;1,245726297
778,000000000;50,885296651;2,823537640;1,222416764
779,000000000;50,969125978;2,832253822;1,199212926
780,000000000;51,054364013;2,842826458;1,176119055
781,000000000;51,141078841;2,855333525;1,153139052
782,000000000;51,229343855;2,869862090;1,130276707
783,000000000;51,319240691;2,886509848;1,107535127
784,000000000;51,410858614;2,905386343;1,084917136
785,000000000;51,504295433;2,926614588;1,062425289
786,000000000;51,599659672;2,950333243;1,040061638
787,000000000;51,697072877;2,976699286;1,017827543
788,000000000;51,796668885;3,005890255;0,000000001
789,000000000;51,898598604;3,038108454;0,000000001
790,000000000;52,003029967;3,073584425;0,000000001
791,000000000;52,110151398;3,112582143;0,000000001
792,000000000;52,220175828;3,155405421;0,000000001
793,000000000;52,333342380;3,202404572;0,000000001
794,000000000;52,449919605;3,253984837;0,000000001
795,000000000;52,570209981;3,310616981;0,000000001
796,000000000;52,694549571;3,372847442;0,000000001
797,000000000;52,823309869;3,441311226;0,000000001
798,000000000;52,956890606;3,516741840;0,000000001
799,000000000;53,095706532;3,599978335;0,000000001
800,000000000;53,240156465;3,691960268;0,000000001
801,000000000;53,390568411;3,793700965;0,000000001
802,000000000;53,547110521;3,906222617;0,000000001
803,000000000;53,709667223;4,030437905;0,000000001
804,000000000;53,877709279;4,166983230;0,000000001
805,000000000;54,050237580;4,316062626;0,000000001
806,000000000;54,225894953;4,477411130;0,000000001
807,000000000;54,403301807;4,650500650;0,000000001
808,000000000;54,581482721;4,834951547;0,000000001
809,000000000;54,760232557;5,031037760;0,000000001
810,000000000;54,938292639;5,237735112;0,000000001
811,000000000;55,108098636;5,445755004;0,000000001
812,000000000;55,270504937;5,654960795;0,000000001
813,000000000;55,426405882;5,865462843;0,000000001
814,000000000;55,576534019;6,077338168;0,000000001
815,000000000;55,721491186;6,290626139;0,000000001
816,000000000;55,861777151;6,505332887;0,000000001
817,000000000;55,997810856;6,721434847;0,000000001
818,000000000;56,129947822;6,938883939;0,000000001
819,000000000;56,258492265;7,157610072;0,000000001
820,000000000;56,381601114;7,373769532;0,000000001
821,000000000;56,496960357;7,582267770;0,000000001
822,000000000;56,606079503;7,784775636;0,000000001
823,000000000;56,710025083;7,982442326;0,000000001
824,000000000;56,809577961;8,176077463;0,000000001
825,000000000;56,905334293;8,366275589;0,000000001
826,000000000;56,997763116;8,553485130;0,000000001
827,000000000;57,087247027;8,738060577;0,000000001
828,000000000;57,174099141;8,920276614;0,000000001
829,000000000;57,258587866;9,100364699;0,000000001
830,000000000;57,340938579;9,278505713;0,000000001
831,000000000;57,421349978;9,454856372;0,000000001
832,000000000;57,499994020;9,629542646;0,000000001
833,000000000;57,577023852;9,802671829;0,000000001
834,000000000;57,652580555;9,974343621;0,000000001
835,000000000;57,726791873;10,144643985;0,000000001
836,000000000;57,799771417;10,313640186;0,000000001
837,000000000;57,871631643;10,481408292;0,000000001
838,000000000;57,942472044;10,648003714;0,000000001
839,000000000;58,012395900;10,813498477;0,000000001
840,000000000;58,081495377;10,977944462;0,000000001
841,000000000;58,149864732;11,141402870;0,000000001
842,000000000;58,217598343;11,303938054;0,000000001
843,000000000;58,284794188;11,465624217;0,000000001
844,000000000;58,351552235;11,626539769;0,000000001
845,000000000;58,417978466;11,786774962;0,000000001
846,000000000;58,484191761;11,946446107;0,000000001
847,000000000;58,550319522;12,105682040;0,000000001
848,000000000;58,616516127;12,264664691;0,000000001
849,000000000;58,682958072;12,423612030;0,000000001
850,000000000;58,749868913;12,582830276;0,000000001
851,000000000;58,817535808;12,742741682;0,000000001
852,000000000;58,886347823;12,903956881;0,000000001
853,000000000;58,956871329;13,067420273;0,000000001
854,000000000;59,030013355;13,234728844;0,000000001
855,000000000;59,107421189;13,408914611;0,000000001
856,000000000;59,188356580;13,587368379;0,000000001
857,000000000;59,269168850;13,761251107;0,000000001
858,000000000;59,349975910;13,930234589;0,000000001
859,000000000;59,428036610;14,088251966;0,000000001
860,000000000;59,495359785;14,219960606;0,000000001
861,000000000;59,556241758;14,335082037;0,000000001
862,000000000;59,612961603;14,438659774;0,000000001
863,000000000;59,666606959;14,533137680;0,000000001
864,000000000;59,717805463;14,619950298;0,000000001
865,000000000;59,766973623;14,700060516;0,000000001
866,000000000;59,814411481;14,774166887;0,000000001
867,000000000;59,860344696;14,842798799;1,005520750
868,000000000;59,904952900;14,906377179;1,022425288
869,000000000;59,948379852;14,965240626;1,039293287
870,000000000;59,990744131;15,019668832;1,056143352
871,000000000;60,032145615;15,069897122;1,072990606
872,000000000;60,072670487;15,116127054;1,089847876
873,000000000;60,112391122;15,158529909;1,106724982
874,000000000;60,151374046;15,197258234;1,123631568
875,000000000;60,189676903;15,232444372;1,140575464
876,000000000;60,227348753;15,264203195;1,157562407
877,000000000;60,264438659;15,292640907;1,174599639
878,000000000;60,300986632;15,317848522;1,191691613
879,000000000;60,337032187;15,339909714;1,208843703
880,000000000;60,372606748;15,358896786;1,226058468
881,000000000;60,407745024;15,374878158;1,243340947
882,000000000;60,442475772;15,387913598;1,260694125
883,000000000;60,476827901;15,398057825;1,278121805
884,000000000;60,510827141;15,405359576;1,295626874
885,000000000;60,544498644;15,409862875;1,313212532
886,000000000;60,577863455;15,411606993;1,330880377
887,000000000;60,610945147;15,410627462;1,348633829
888,000000000;60,643761929;15,406956068;1,366473878
889,000000000;60,676338139;15,400620187;1,384405257
890,000000000;60,708689479;15,391644826;1,402428354
891,000000000;60,740836340;15,380050719;1,420546459
892,000000000;60,772797217;15,365855471;1,438762131
893,000000000;60,804586505;15,349075515;1,457075834
894,000000000;60,836224739;15,329721061;1,475491790
895,000000000;60,867727976;15,307801292;1,494011866
896,000000000;60,899111891;15,283322828;1,512637865
897,000000000;60,930392554;15,256289146;1,531371959
898,000000000;60,961588287;15,226698554;1,550217801
899,000000000;60,992714963;15,194548283;1,569177687
900,000000000;61,023788911;15,159832157;1,588254247
901,000000000;61,054826143;15,122541372;1,607449954
902,000000000;61,085844047;15,082662418;1,626768138
903,000000000;61,116859965;15,040178544;1,646212089
904,000000000;61,147892072;14,995068526;1,665785572
905,000000000;61,178959596;14,947306051;1,685492938
906,000000000;61,210081296;14,896861893;1,705338123
907,000000000;61,241277135;14,843701303;1,725325668
908,000000000;61,272567701;14,787784707;1,745460300
